id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
61075_0001,24.49,MACRON,40.97,60.3,LE PEN,26.98,39.7
61076_0001,17.76,MACRON,32.71,45.45,LE PEN,39.25,54.55
61077_0001,21.34,MACRON,43.47,63.49,LE PEN,25.0,36.51
61078_0001,23.29,MACRON,38.99,54.41,LE PEN,32.67,45.59
61079_0001,22.0,MACRON,35.78,49.38,LE PEN,36.67,50.62
61080_0001,20.0,MACRON,34.29,48.98,LE PEN,35.71,51.02
61081_0001,21.63,MACRON,34.16,47.87,LE PEN,37.19,52.13
61081_0002,21.3,MACRON,40.74,56.41,LE PEN,31.48,43.59
61082_0001,20.0,MACRON,45.71,57.14,LE PEN,34.29,42.86
61084_0001,22.13,MACRON,47.54,68.24,LE PEN,22.13,31.76
61085_0001,0.0,MACRON,53.57,75.0,LE PEN,17.86,25.0
61086_0001,16.35,MACRON,31.73,41.25,LE PEN,45.19,58.75
61087_0001,13.49,MACRON,42.86,50.94,LE PEN,41.27,49.06
61088_0001,30.0,MACRON,30.0,45.45,LE PEN,36.0,54.55
61089_0001,28.0,MACRON,32.0,48.98,LE PEN,33.33,51.02
61091_0001,20.89,MACRON,38.87,52.72,LE PEN,34.85,47.28
61092_0001,20.74,MACRON,31.56,44.61,LE PEN,39.18,55.39
61093_0001,21.94,MACRON,36.34,50.22,LE PEN,36.02,49.78
61094_0001,14.13,MACRON,51.79,67.54,LE PEN,24.89,32.46
61095_0001,19.9,MACRON,37.62,54.01,LE PEN,32.04,45.99
61096_0001,25.56,MACRON,41.67,61.86,LE PEN,25.69,38.14
61096_0002,24.02,MACRON,40.94,55.65,LE PEN,32.63,44.35
61096_0003,26.44,MACRON,42.9,62.12,LE PEN,26.16,37.88
61097_0001,21.7,MACRON,40.27,56.25,LE PEN,31.32,43.75
61098_0001,19.03,MACRON,38.92,53.1,LE PEN,34.38,46.9
61099_0001,17.14,MACRON,39.05,50.93,LE PEN,37.62,49.07
61100_0001,15.52,MACRON,36.21,46.67,LE PEN,41.38,53.33
61101_0001,21.48,MACRON,27.52,40.59,LE PEN,40.27,59.41
61102_0001,19.17,MACRON,36.1,48.92,LE PEN,37.7,51.08
61103_0001,22.54,MACRON,32.39,43.81,LE PEN,41.55,56.19
61104_0001,13.95,MACRON,27.91,36.36,LE PEN,48.84,63.64
61105_0001,15.66,MACRON,36.14,46.88,LE PEN,40.96,53.13
61107_0001,14.58,MACRON,39.58,50.44,LE PEN,38.89,49.56
61108_0001,22.93,MACRON,31.85,45.45,LE PEN,38.22,54.55
61111_0001,20.98,MACRON,44.41,62.87,LE PEN,26.22,37.13
61113_0001,9.26,MACRON,55.56,68.18,LE PEN,25.93,31.82
61114_0001,11.02,MACRON,28.35,34.95,LE PEN,52.76,65.05
61116_0001,20.7,MACRON,33.6,45.98,LE PEN,39.48,54.02
61116_0002,21.52,MACRON,31.96,45.91,LE PEN,37.66,54.09
61116_0003,26.17,MACRON,25.5,36.36,LE PEN,44.63,63.64
61117_0001,20.42,MACRON,48.61,69.03,LE PEN,21.81,30.97
61117_0002,22.7,MACRON,44.43,61.25,LE PEN,28.11,38.75
61118_0001,16.81,MACRON,38.94,50.57,LE PEN,38.05,49.43
61120_0001,17.65,MACRON,32.35,40.74,LE PEN,47.06,59.26
61121_0001,13.36,MACRON,37.79,46.86,LE PEN,42.86,53.14
61122_0001,22.22,MACRON,55.56,72.92,LE PEN,20.63,27.08
61123_0001,15.34,MACRON,39.2,48.59,LE PEN,41.48,51.41
61124_0001,20.95,MACRON,37.4,53.01,LE PEN,33.16,46.99
61126_0001,21.69,MACRON,43.67,58.23,LE PEN,31.33,41.77
61129_0001,12.64,MACRON,44.4,56.16,LE PEN,34.66,43.84
61130_0001,18.52,MACRON,31.85,43.73,LE PEN,40.99,56.27
61133_0001,17.4,MACRON,39.58,50.24,LE PEN,39.2,49.76
61137_0001,26.36,MACRON,35.45,50.65,LE PEN,34.55,49.35
61138_0001,21.84,MACRON,37.93,51.16,LE PEN,36.21,48.84
61139_0001,16.94,MACRON,35.08,43.94,LE PEN,44.76,56.06
61140_0001,22.74,MACRON,34.89,49.8,LE PEN,35.17,50.2
61141_0001,13.24,MACRON,48.73,60.28,LE PEN,32.11,39.72
61142_0001,15.75,MACRON,42.52,54.55,LE PEN,35.43,45.45
61143_0001,20.83,MACRON,51.71,71.8,LE PEN,20.31,28.2
61143_0002,20.71,MACRON,52.34,72.48,LE PEN,19.88,27.52
61145_0001,33.95,MACRON,37.86,63.1,LE PEN,22.14,36.9
61145_0002,29.36,MACRON,38.16,59.49,LE PEN,25.98,40.51
61145_0003,25.98,MACRON,44.1,64.54,LE PEN,24.24,35.46
61145_0004,23.84,MACRON,43.05,60.19,LE PEN,28.48,39.81
61146_0001,18.18,MACRON,37.93,48.99,LE PEN,39.5,51.01
61148_0001,11.21,MACRON,46.64,59.43,LE PEN,31.84,40.57
61149_0001,22.73,MACRON,40.26,55.86,LE PEN,31.82,44.14
61150_0001,24.96,MACRON,31.55,44.47,LE PEN,39.39,55.53
61151_0001,11.52,MACRON,40.15,50.0,LE PEN,40.15,50.0
61152_0001,14.13,MACRON,33.7,41.89,LE PEN,46.74,58.11
61153_0001,23.05,MACRON,39.08,54.47,LE PEN,32.67,45.53
61153_0002,22.53,MACRON,45.6,64.01,LE PEN,25.64,35.99
61153_0003,19.4,MACRON,40.8,58.94,LE PEN,28.43,41.06
61153_0004,17.43,MACRON,49.6,67.03,LE PEN,24.4,32.97
61156_0001,16.58,MACRON,38.86,48.7,LE PEN,40.93,51.3
61158_0001,14.0,MACRON,47.0,58.75,LE PEN,33.0,41.25
61159_0001,24.59,MACRON,36.07,52.38,LE PEN,32.79,47.62
61160_0001,18.6,MACRON,47.09,60.9,LE PEN,30.23,39.1
